Photo,Name,Position,Rank,%Drafted,ADP,ADP2
Photo of Dak Prescott,Dak Prescott,Dal - QB,89,99%,94.1,94.1
Photo of Kyler Murray,Kyler Murray,Ari - QB,98,100%,94.7,94.7
Photo of Jordan Addison,Jordan Addison,Min - WR,83,100%,95.6,95.6
Photo of Jordan Mason,Jordan Mason,Min - RB,74,99%,95.8,95.8
Photo of Tucker Kraft,Tucker Kraft,GB - TE,85,100%,96.2,96.2
Photo of Deebo Samuel,Deebo Samuel,Was - WR,99,98%,100.6,100.6
Photo of Jakobi Meyers,Jakobi Meyers,LV - WR,79,97%,100.8,100.8
Photo of Baltimore,Baltimore,Bal - DEF,172,100%,100.8,100.8
Photo of Chris Godwin Jr.,Chris Godwin Jr.,TB - WR,123,95%,100.9,100.9
Photo of Stefon Diggs,Stefon Diggs,NE - WR,78,99%,101.5,101.5
Photo of Pittsburgh,Pittsburgh,Pit - DEF,168,100%,102.4,102.4
Photo of Ricky Pearsall,Ricky Pearsall,SF - WR,71,96%,102.9,102.9
Photo of Emeka Egbuka,Emeka Egbuka,TB - WR,73,70%,104.0,104.0
Photo of Jauan Jennings,Jauan Jennings,SF - WR,84,98%,104.3,104.3
Photo of Jared Goff,Jared Goff,Det - QB,111,96%,104.5,104.5
Photo of Justin Herbert,Justin Herbert,LAC - QB,105,98%,105.0,105.0
Photo of Jayden Reed,Jayden Reed,GB - WR,104,96%,106.9,106.9
Photo of Quinshon Judkins,Quinshon Judkins,Cle - RB,163,58%,107.7,107.7
Photo of Cameron Dicker,Cameron Dicker,LAC - K,190,100%,108.0,108.0
Photo of J.K. Dobbins,J.K. Dobbins,Den - RB,92,85%,110.4,110.4
Photo of Caleb Williams,Caleb Williams,Chi - QB,102,96%,110.4,110.4
Photo of Travis Etienne Jr.,Travis Etienne Jr.,Jax - RB,96,94%,110.8,110.8
Photo of Drake Maye,Drake Maye,NE - QB,100,94%,111.9,111.9
