Rank,Name,Position,Drop,ADP,7-day,AVG Salary,7-day salary
81,Jakobi Meyers,LVWR,14.1,95.1,3.6,3.9,0.5,85.2
82,Tyrone Tracy Jr.,NYGRB,14,96,8,4.2,1.2,84.6
83,Matthew Golden,GBWR,14.2,97.2,3.5,4.1,1.1,85.7
84,Stefon DiggsQ,NEWR,13.6,97.6,1.3,3.8,0.4,86
85,Steelers D/ST,PitDST,14.5,99.5,-2.7,2.7,0.2,98.3
86,Chris Olave,NOWR,13.6,99.6,4.8,3.5,0.6,84.4
87,Joe MixonO,HouRB,13.7,100.7,-26.4,4.3,-4.5,90.2
88,Chris GodwinO,TBWR,14,102,0.6,3.4,0,83.2
89,Jaylen Warren,PitRB,13.2,102.2,9.1,3,0.9,82.3
90,Texans D/ST,HouDST,12.9,102.9,-5,2.2,0.1,97.4
91,Broncos D/ST,DenDST,12.5,103.5,-3.4,3,0.2,98.4
92,Justin Herbert,LACQB,12.5,104.5,2.8,3.1,0.8,84.1
93,Kaleb Johnson,PitRB,12.2,105.2,-7.3,4,-0.6,84.3
94,Quinshon Judkins,CleRB,13.7,107.7,32.4,2.9,1.6,77.2
95,Deebo Samuel,WshWR,12.9,107.9,2.2,3.2,0.8,83.7
96,Jake Bates,DetK,13.5,109.5,-3,2,0.2,98.6
97,J.K. Dobbins,DenRB,15.1,112.1,4.8,2.4,0.5,77.5
98,Tyler Warren,IndTE,14.9,112.9,17,2.8,1.1,78.6
99,Dak Prescott,DalQB,14.6,113.6,3.5,3.5,1.2,77.3
100,Brandon Aubrey,DalK,13.7,113.7,-3.2,2.6,0.2,97.2
101,Tucker Kraft,GBTE,12.8,113.8,-2.2,1.8,0.1,82.2
102,Jordan AddisonSSPD,MinWR,12.9,114.9,-3.2,2.6,0.2,80.4
103,Michael Pittman Jr.,IndWR,12.3,115.3,10.3,2.1,0.9,78.3
104,Brian Robinson Jr.,SFRB,12.4,116.4,-10.8,2.6,-0.3,79.7
105,Ricky Pearsall,SFWR,11.7,116.7,4.3,2.8,1.1,79.1
106,Emeka Egbuka,TBWR,11.6,117.6,10.4,3.6,1.8,81.1
107,Khalil ShakirQ,BufWR,11,118,1.5,1.8,0.3,79.7
108,Chase McLaughlin,TBK,10.3,118.3,-1.7,1.6,0.2,96.6
109,Javonte Williams,DalRB,10.6,119.6,-1.4,1.9,0.2,78.1
110,Ravens D/ST,BalDST,10.9,120.9,-2.5,2,0.3,88.8
111,Rhamondre StevensonQ,NERB,10.2,121.2,0.2,1.7,0.1,77.4
112,Caleb Williams,ChiQB,9.3,121.3,3.7,2.3,0.9,74.4
113,Colston Loveland,ChiTE,8.9,121.9,4.4,1.7,0.4,77.7
114,Keon Coleman,BufWR,8.1,122.1,0.6,1.7,0.3,78.6
115,Jauan JenningsQ,SFWR,7.5,122.5,-0.4,1.7,0.3,78.9
116,Vikings D/ST,MinDST,6.5,122.5,-2.5,1.6,0.1,93.7
117,Cameron Dicker,LACK,6.3,123.3,-2,1.7,0.1,96.2
118,Justin Fields,NYJQB,6.1,124.1,-0.2,2.1,0.3,73
119,Jared Goff,DetQB,7,126,1.9,2.4,0.6,70.6
120,Austin Ekeler,WshRB,6.5,126.5,8.4,1.6,0.6,74.6
121,Travis Etienne Jr.,JaxRB,6.5,127.5,1.7,1.9,0.5,76.1
122,Keenan Allen,LACWR,6.3,128.3,0.8,1.4,0.2,64.5
123,Cam Skattebo,NYGRB,5.4,128.4,-8.7,1.8,-0.1,76.8
124,Dallas GoedertQ,PhiTE,7.2,131.2,-5.9,1.1,0,74.2
125,Eagles D/ST,PhiDST,6.7,131.7,-3.4,1.6,0.1,85.6
126,Jayden ReedQ,GBWR,7.3,133.3,-1.7,1.2,0.2,72
127,Dalton Kincaid,BufTE,9.8,136.8,-0.3,1.1,0.1,69.7
128,Rashid Shaheed,NOWR,9.9,137.9,0.5,1.1,0.1,69.2
129,Drake Maye,NEQB,9.2,138.2,1.4,2,0.6,61.2
130,Kyle Pitts Sr.,AtlTE,8.8,138.8,0.2,1.3,0.2,62.1
131,Jordan Mason,MinRB,7.8,138.8,3.7,1.9,0.6,65
132,Lions D/ST,DetDST,7,139,-1.9,1.1,0.1,79.5
133,Seahawks D/ST,SeaDST,6.2,139.2,-0.4,1.1,0.1,77.5
134,J.J. McCarthy,MinQB,5.3,139.3,0.8,2,0.5,64
135,Darnell MooneyQ,AtlWR,4.8,139.8,-1.4,1,0,65.1
136,Tank Bigsby,JaxRB,4,140,1.5,1.4,0.4,67.9
137,Jordan LoveQ,GBQB,3.9,140.9,-2.6,1.9,0.5,58.6
138,Jayden Higgins,HouWR,3.1,141.1,-0.2,1.1,0.1,64.6
139,Josh DownsQ,IndWR,2.1,141.1,-2.5,1,0.1,56.6
140,C.J. Stroud,HouQB,2.1,142.1,2.1,1.9,0.8,55.8
141,Jake Ferguson,DalTE,1.8,142.8,2.7,1,0.1,58.8
142,Jake Elliott,PhiK,0.9,142.9,-1.2,1.1,0.1,83.4
143,Tyjae SpearsQ,TenRB,2.7,145.7,-0.5,1,0.1,61.5
144,Chris Boswell,PitK,2.4,146.4,-2.9,1,0,76.6
145,Zach Charbonnet,SeaRB,2.3,147.3,6.8,1.4,0.5,59.9
146,Jason Sanders,MiaK,2.9,148.9,-1.4,0.9,0,78.7
147,Harrison Butker,KCK,2.9,149.9,-1.2,1,0.1,68.7
148,Patriots D/ST,NEDST,2.1,150.1,-1.2,0.9,0,75.5
149,Bills D/ST,BufDST,2.3,151.3,-1.5,0.9,0.1,58.3
150,Rachaad WhiteQ,TBRB,1.6,151.6,-3.3,0.9,0,59.7
